FBID,female_narrow_heritability,male_narrow_heritability
FBgn0265202,0.017,0.000
FBgn0265203,0.000,0.000
FBgn0265204,0.038,0.026
FBgn0265205,0.011,0.004
FBgn0265252,0.000,0.054
FBgn0265253,0.000,0.169
FBgn0265254,0.216,0.153
FBgn0265255,0.128,0.000
FBgn0265256,0.011,0.111
FBgn0265257,0.000,0.080
FBgn0265262,0.321,0.220
FBgn0265263,0.000,0.194
FBgn0265264,0.000,0.767
FBgn0265265,0.099,0.067
FBgn0265266,0.149,0.251
FBgn0265267,0.216,0.650
FBgn0265268,0.071,0.269
FBgn0265269,0.031,0.119
FBgn0265270,0.000,0.338
FBgn0265271,0.000,0.141
FBgn0265272,0.000,0.112
FBgn0265274,0.353,0.364
FBgn0265275,0.203,0.154
FBgn0265276,0.040,0.000
FBgn0265295,0.122,0.048
FBgn0265297,0.121,0.256
FBgn0265298,0.057,0.000
FBgn0265299,0.000,0.130
FBgn0265300,0.031,0.000
FBgn0265301,0.087,0.281
FBgn0265302,0.085,0.173
FBgn0265303,0.043,0.000
FBgn0265304,0.000,0.136
FBgn0265305,0.000,0.050
FBgn0265306,0.022,0.286
FBgn0265307,0.000,0.047
FBgn0265308,0.000,0.044
FBgn0265309,0.000,0.000
FBgn0265310,0.000,0.000
FBgn0265311,0.000,0.000
FBgn0265312,0.024,0.000
FBgn0265314,0.017,0.044
FBgn0265315,0.000,0.000
FBgn0265316,0.060,0.132
FBgn0265317,0.020,0.000
FBgn0265318,0.071,0.000
FBgn0265338,0.000,0.037
FBgn0265339,0.192,0.101
FBgn0265340,0.106,0.000
FBgn0265341,0.188,0.335
FBgn0265342,0.000,0.196
FBgn0265343,0.140,0.048
FBgn0265344,0.116,0.094
FBgn0265345,0.000,0.142
FBgn0265346,0.000,0.115
FBgn0265347,0.047,0.000
FBgn0265348,0.000,0.230
FBgn0265349,0.057,0.544
FBgn0265351,0.095,0.101
FBgn0265356,0.397,0.247
FBgn0265362,0.072,0.000
FBgn0265364,0.039,0.125
FBgn0265365,0.000,0.000
FBgn0265366,0.000,0.057
FBgn0265367,0.047,0.388
FBgn0265368,0.000,0.363
FBgn0265369,0.000,0.116
FBgn0265370,0.000,0.000
FBgn0265371,0.033,0.000
FBgn0265372,0.000,0.049
FBgn0265373,0.036,0.023
FBgn0265374,0.014,0.000
FBgn0265375,0.023,0.104
FBgn0265376,0.119,0.000
FBgn0265377,0.230,0.046
FBgn0265378,0.000,0.034
FBgn0265379,0.042,0.000
FBgn0265380,0.012,0.048
FBgn0265381,0.000,0.007
FBgn0265382,0.035,0.050
FBgn0265383,0.000,0.048
FBgn0265413,0.042,0.121
FBgn0265414,0.000,0.050
FBgn0265415,0.072,0.108
FBgn0265416,0.182,0.202
FBgn0265417,0.087,0.000
FBgn0265418,0.000,0.003
FBgn0265419,0.159,0.027
FBgn0265420,0.042,0.006
FBgn0265421,0.000,0.129
FBgn0265422,0.000,0.146
FBgn0265423,0.123,0.275
FBgn0265424,0.000,0.054
FBgn0265425,0.000,0.058
FBgn0265426,0.000,0.062
FBgn0265427,0.000,0.088
FBgn0265428,0.086,0.000
FBgn0265429,0.000,0.008
FBgn0265434,0.061,0.098
FBgn0265443,0.057,0.065
XLOC_000005,0.093,0.112
XLOC_000011,0.000,0.019
XLOC_000013,0.138,0.000
XLOC_000016,0.032,0.000
XLOC_000017,0.017,0.000
XLOC_000018,0.023,0.000
XLOC_000019,0.013,0.063
XLOC_000024,0.066,0.206
XLOC_000028,0.000,0.000
XLOC_000037,0.003,0.048
XLOC_000038,0.000,0.127
XLOC_000039,0.000,0.051
XLOC_000041,0.000,0.056
XLOC_000044,0.000,0.177
XLOC_000045,0.000,0.112
XLOC_000046,0.016,0.000
XLOC_000047,0.000,0.055
XLOC_000054,0.055,0.150
XLOC_000057,0.000,0.002
XLOC_000061,0.014,0.000
XLOC_000064,0.008,0.126
XLOC_000065,0.000,0.023
XLOC_000071,0.000,0.050
XLOC_000074,0.000,0.127
XLOC_000076,0.000,0.000
XLOC_000085,0.000,0.128
XLOC_000105,0.000,0.000
XLOC_000115,0.164,0.153
XLOC_000124,0.000,0.356
XLOC_000125,0.000,0.047
XLOC_000135,0.000,0.019
XLOC_000142,0.000,0.082
XLOC_000145,0.113,0.000
XLOC_000148,0.000,0.156
XLOC_000149,0.003,0.000
XLOC_000157,0.000,0.061
XLOC_000159,0.000,0.214
XLOC_000169,0.133,0.013
XLOC_000171,0.047,0.000
XLOC_000177,0.000,0.038
XLOC_000182,0.070,0.071
XLOC_000183,0.032,0.013
XLOC_000186,0.055,0.203
XLOC_000187,0.038,0.208
XLOC_000192,0.000,0.223
XLOC_000205,0.131,0.154
XLOC_000206,0.000,0.026
XLOC_000211,0.000,0.027
XLOC_000212,0.000,0.032
XLOC_000223,0.136,0.011
XLOC_000224,0.000,0.078
XLOC_000228,0.004,0.000
XLOC_000229,0.014,0.036
XLOC_000234,0.127,0.000
XLOC_000235,0.000,0.163
XLOC_000236,0.000,0.032
XLOC_000242,0.000,0.031
XLOC_000243,0.000,0.128
XLOC_000246,0.053,0.000
XLOC_000247,0.054,0.000
XLOC_000252,0.000,0.038
XLOC_000254,0.072,0.010
XLOC_000259,0.017,0.090
XLOC_000260,0.158,0.014
XLOC_000261,0.006,0.071
XLOC_000262,0.000,0.013
XLOC_000273,0.022,0.014
XLOC_000275,0.017,0.032
XLOC_000283,0.000,0.030
XLOC_000290,0.028,0.089
XLOC_000293,0.028,0.153
XLOC_000294,0.000,0.054
XLOC_000295,0.000,0.015
XLOC_000296,0.000,0.000
XLOC_000297,0.000,0.011
XLOC_000302,0.067,0.015
XLOC_000305,0.000,0.161
XLOC_000318,0.000,0.029
XLOC_000320,0.368,0.557
XLOC_000325,0.000,0.000
XLOC_000333,0.013,0.019
XLOC_000340,0.000,0.000
XLOC_000359,0.081,0.063
XLOC_000360,0.000,0.000
XLOC_000361,0.056,0.050
XLOC_000362,0.040,0.086
XLOC_000364,0.000,0.000
XLOC_000365,0.024,0.164
XLOC_000385,0.000,0.167
XLOC_000386,0.026,0.038
XLOC_000390,0.033,0.006
XLOC_000392,0.105,0.000
XLOC_000399,0.000,0.048
XLOC_000401,0.000,0.000
XLOC_000402,0.000,0.000
XLOC_000406,0.000,0.075
XLOC_000411,0.000,0.073
XLOC_000413,0.000,0.000
XLOC_000414,0.000,0.132
XLOC_000429,0.011,0.000
XLOC_000430,0.063,0.000
XLOC_000431,0.000,0.036
XLOC_000432,0.042,0.186
XLOC_000433,0.120,0.058
XLOC_000440,0.000,0.420
XLOC_000441,0.112,0.067
XLOC_000442,0.000,0.038
XLOC_000443,0.136,0.002
XLOC_000447,0.147,0.179
XLOC_000449,0.000,0.000
XLOC_000451,0.050,0.110
XLOC_000453,0.014,0.088
XLOC_000459,0.033,0.000
XLOC_000460,0.000,0.040
XLOC_000461,0.000,0.019
XLOC_000462,0.058,0.039
XLOC_000464,0.000,0.352
XLOC_000465,0.041,0.000
XLOC_000467,0.046,0.053
XLOC_000468,0.000,0.112
XLOC_000473,0.000,0.000
XLOC_000476,0.000,0.087
XLOC_000477,0.055,0.036
XLOC_000478,0.000,0.000
XLOC_000479,0.022,0.008
XLOC_000480,0.000,0.008
XLOC_000491,0.000,0.102
XLOC_000495,0.007,0.000
XLOC_000499,0.000,0.089
XLOC_000500,0.000,0.000
XLOC_000509,0.000,0.026
XLOC_000514,0.000,0.059
XLOC_000518,0.140,0.006
XLOC_000520,0.000,0.094
XLOC_000522,0.000,0.000
XLOC_000528,0.037,0.269
XLOC_000530,0.100,0.000
XLOC_000531,0.000,0.013
XLOC_000532,0.043,0.000
XLOC_000533,0.203,0.276
XLOC_000534,0.079,0.247
XLOC_000535,0.115,0.237
XLOC_000536,0.153,0.223
XLOC_000537,0.239,0.338
XLOC_000538,0.410,0.298
XLOC_000540,0.235,0.000
XLOC_000543,0.000,0.086
XLOC_000544,0.000,0.000
XLOC_000545,0.201,0.178
XLOC_000546,0.004,0.000
XLOC_000547,0.066,0.000
XLOC_000548,0.029,0.000
XLOC_000549,0.000,0.068
XLOC_000550,0.089,0.011
XLOC_000551,0.000,0.149
XLOC_000552,0.024,0.000
XLOC_000554,0.066,0.047
XLOC_000555,0.011,0.086
XLOC_000556,0.000,0.089
XLOC_000557,0.000,0.106
XLOC_000558,0.000,0.000
XLOC_000559,0.000,0.041
XLOC_000560,0.045,0.004
XLOC_000561,0.000,0.201
XLOC_000562,0.041,0.000
XLOC_000563,0.009,0.081
XLOC_000564,0.043,0.000
XLOC_000565,0.055,0.101
XLOC_000566,0.024,0.104
XLOC_000567,0.000,0.000
XLOC_000568,0.000,0.017
XLOC_000569,0.039,0.000
XLOC_000573,0.066,0.121
XLOC_000574,0.000,0.000
XLOC_000575,0.028,0.001
XLOC_000576,0.000,0.000
XLOC_000577,0.000,0.131
XLOC_000578,0.000,0.074
XLOC_000579,0.090,0.093
XLOC_000580,0.102,0.047
XLOC_000581,0.000,0.027
XLOC_000582,0.000,0.017
XLOC_000583,0.000,0.028
XLOC_000585,0.000,0.203
XLOC_000586,0.000,0.069
XLOC_000587,0.000,0.000
XLOC_000588,0.164,0.204
XLOC_000589,0.027,0.006
XLOC_000591,0.090,0.000
XLOC_000592,0.006,0.045
XLOC_000601,0.014,0.115
XLOC_000602,0.034,0.101
XLOC_000603,0.010,0.017
XLOC_000604,0.000,0.000
XLOC_000605,0.021,0.179
XLOC_000606,0.037,0.027
XLOC_000607,0.000,0.000
XLOC_000608,0.000,0.123
XLOC_000609,0.046,0.006
XLOC_000610,0.000,0.078
XLOC_000611,0.062,0.000
XLOC_000612,0.028,0.000
XLOC_000613,0.039,0.029
XLOC_000617,0.123,0.000
XLOC_000620,0.000,0.006
XLOC_000621,0.000,0.002
XLOC_000622,0.051,0.134
XLOC_000623,0.011,0.000
XLOC_000624,0.000,0.201
XLOC_000625,0.000,0.000
XLOC_000626,0.000,0.000
XLOC_000627,0.000,0.000
XLOC_000628,0.000,0.028
XLOC_000629,0.000,0.033
XLOC_000630,0.290,0.273
XLOC_000631,0.034,0.000
XLOC_000632,0.039,0.124
XLOC_000634,0.000,0.058
XLOC_000635,0.170,0.025
XLOC_000636,0.116,0.116
XLOC_000638,0.000,0.071
XLOC_000639,0.000,0.000
XLOC_000640,0.200,0.265
XLOC_000641,0.000,0.000
XLOC_000642,0.000,0.091
XLOC_000644,0.012,0.019
XLOC_000646,0.000,0.080
XLOC_000647,0.040,0.065
XLOC_000648,0.016,0.142
XLOC_000649,0.039,0.051
XLOC_000650,0.000,0.073
XLOC_000651,0.000,0.003
XLOC_000652,0.011,0.000
XLOC_000653,0.000,0.032
XLOC_000654,0.579,0.337
XLOC_000655,0.008,0.017
XLOC_000656,0.000,0.093
XLOC_000657,0.205,0.040
XLOC_000658,0.000,0.076
XLOC_000659,0.047,0.000
XLOC_000660,0.032,0.148
XLOC_000661,0.002,0.000
XLOC_000663,0.000,0.038
XLOC_000664,0.045,0.159
XLOC_000665,0.046,0.000
XLOC_000666,0.007,0.019
XLOC_000667,0.102,0.000
XLOC_000668,0.000,0.000
XLOC_000669,0.000,0.020
XLOC_000670,0.010,0.027
XLOC_000671,0.102,0.114
XLOC_000672,0.000,0.000
XLOC_000674,0.021,0.000
XLOC_000675,0.071,0.000
XLOC_000682,0.000,0.000
XLOC_000683,0.082,0.303
XLOC_000684,0.122,0.142
XLOC_000685,0.000,0.127
XLOC_000688,0.000,0.037
XLOC_000689,0.033,0.059
XLOC_000690,0.000,0.082
XLOC_000691,0.000,0.054
XLOC_000692,0.000,0.075
XLOC_000693,0.000,0.000
XLOC_000694,0.125,0.190
XLOC_000696,0.000,0.000
XLOC_000699,0.000,0.021
XLOC_000700,0.070,0.043
XLOC_000701,0.000,0.036
XLOC_000702,0.000,0.000
XLOC_000704,0.026,0.000
XLOC_000705,0.069,0.034
XLOC_000706,0.000,0.000
XLOC_000707,0.000,0.044
XLOC_000708,0.009,0.025
XLOC_000709,0.000,0.008
XLOC_000710,0.033,0.093
XLOC_000711,0.060,0.060
XLOC_000712,0.000,0.161
XLOC_000713,0.029,0.127
XLOC_000716,0.114,0.119
XLOC_000717,0.000,0.013
XLOC_000718,0.000,0.000
XLOC_000719,0.039,0.117
XLOC_000720,0.000,0.000
XLOC_000721,0.000,0.000
XLOC_000725,0.000,0.001
XLOC_000726,0.000,0.000
XLOC_000727,0.000,0.000
XLOC_000728,0.122,0.000
XLOC_000729,0.045,0.039
XLOC_000730,0.000,0.157
XLOC_000731,0.071,0.024
XLOC_000732,0.104,0.000
XLOC_000733,0.038,0.000
XLOC_000734,0.020,0.061
XLOC_000735,0.090,0.062
XLOC_000736,0.000,0.035
XLOC_000737,0.000,0.000
XLOC_000738,0.000,0.082
XLOC_000740,0.000,0.000
XLOC_000741,0.076,0.121
XLOC_000742,0.000,0.000
XLOC_000754,0.000,0.025
XLOC_000755,0.000,0.129
XLOC_000756,0.000,0.012
XLOC_000757,0.000,0.000
XLOC_000758,0.038,0.000
XLOC_000761,0.035,0.000
XLOC_000762,0.075,0.120
XLOC_000764,0.000,0.073
XLOC_000766,0.076,0.000
XLOC_000767,0.069,0.066
XLOC_000777,0.014,0.041
XLOC_000778,0.012,0.000
XLOC_000779,0.017,0.014
XLOC_000780,0.000,0.000
XLOC_000781,0.068,0.034
XLOC_000782,0.081,0.000
XLOC_000783,0.000,0.000
XLOC_000784,0.014,0.065
XLOC_000789,0.076,0.021
XLOC_000790,0.068,0.126
XLOC_000791,0.032,0.090
XLOC_000792,0.000,0.178
XLOC_000793,0.079,0.000
XLOC_000794,0.000,0.000
XLOC_000795,0.143,0.033
XLOC_000796,0.098,0.040
XLOC_000797,0.000,0.000
XLOC_000798,0.023,0.000
XLOC_000799,0.000,0.000
XLOC_000800,0.000,0.056
XLOC_000801,0.058,0.388
XLOC_000802,0.023,0.099
XLOC_000806,0.022,0.017
XLOC_000807,0.000,0.000
XLOC_000808,0.000,0.099
XLOC_000809,0.000,0.006
XLOC_000810,0.000,0.059
XLOC_000811,0.040,0.024
XLOC_000812,0.000,0.011
XLOC_000813,0.020,0.012
XLOC_000814,0.073,0.000
XLOC_000815,0.084,0.035
XLOC_000816,0.000,0.000
XLOC_000817,0.000,0.093
XLOC_000820,0.265,0.291
XLOC_000821,0.221,0.000
XLOC_000822,0.000,0.076
XLOC_000823,0.000,0.000
XLOC_000824,0.000,0.000
XLOC_000825,0.403,0.270
XLOC_000826,0.000,0.023
XLOC_000827,0.170,0.000
XLOC_000828,0.051,0.000
XLOC_000829,0.022,0.088
XLOC_000830,0.000,0.192
XLOC_000831,0.034,0.025
XLOC_000832,0.000,0.000
XLOC_000833,0.106,0.000
XLOC_000834,0.048,0.034
XLOC_000836,0.061,0.019
XLOC_000838,0.000,0.013
XLOC_000839,0.000,0.206
XLOC_000840,0.107,0.059
XLOC_000841,0.058,0.000
XLOC_000843,0.000,0.028
XLOC_000844,0.090,0.085
XLOC_000846,0.014,0.032
XLOC_000847,0.000,0.000
XLOC_000848,0.000,0.000
XLOC_000849,0.000,0.024
XLOC_000850,0.000,0.066
XLOC_000851,0.000,0.000
XLOC_000853,0.092,0.000
XLOC_000858,0.145,0.289
XLOC_000861,0.000,0.027
XLOC_000862,0.022,0.073
XLOC_000863,0.006,0.095
XLOC_000865,0.003,0.123
XLOC_000866,0.044,0.000
XLOC_000868,0.000,0.145
XLOC_000869,0.058,0.077
XLOC_000870,0.193,0.243
XLOC_000871,0.000,0.013
XLOC_000872,0.048,0.050
XLOC_000873,0.041,0.134
XLOC_000874,0.000,0.026
XLOC_000875,0.000,0.000
XLOC_000876,0.000,0.119
XLOC_000877,0.012,0.059
XLOC_000878,0.085,0.012
XLOC_000879,0.043,0.000
XLOC_000880,0.007,0.002
XLOC_000881,0.000,0.137
XLOC_000882,0.042,0.046
XLOC_000883,0.041,0.070
XLOC_000884,0.042,0.164
XLOC_000891,0.000,0.022
XLOC_000892,0.000,0.154
XLOC_000893,0.000,0.037
XLOC_000894,0.027,0.115
XLOC_000895,0.000,0.000
XLOC_000896,0.194,0.384
XLOC_000897,0.017,0.000
XLOC_000900,0.000,0.114
XLOC_000905,0.092,0.052
XLOC_000906,0.000,0.057
XLOC_000907,0.000,0.000
XLOC_000908,0.000,0.007
XLOC_000909,0.000,0.042
XLOC_000910,0.000,0.121
XLOC_000911,0.000,0.000
XLOC_000912,0.000,0.019
XLOC_000913,0.006,0.017
XLOC_000914,0.052,0.000
XLOC_000915,0.147,0.224
XLOC_000916,0.000,0.219
XLOC_000919,0.000,0.085
XLOC_000923,0.052,0.000
XLOC_000925,0.041,0.097
XLOC_000926,0.000,0.000
XLOC_000927,0.054,0.040
XLOC_000928,0.000,0.000
XLOC_000929,0.024,0.000
XLOC_000935,0.056,0.010
XLOC_000936,0.005,0.024
XLOC_000937,0.136,0.113
XLOC_000938,0.000,0.000
XLOC_000939,0.000,0.000
XLOC_000941,0.038,0.000
XLOC_000942,0.074,0.061
XLOC_000944,0.000,0.060
XLOC_000945,0.040,0.000
XLOC_000946,0.000,0.000
XLOC_000947,0.018,0.040
XLOC_000948,0.000,0.000
XLOC_000949,0.050,0.000
XLOC_000950,0.134,0.000
XLOC_000951,0.074,0.000
XLOC_000952,0.011,0.043
XLOC_000953,0.000,0.000
XLOC_000954,0.028,0.047
XLOC_000955,0.040,0.000
XLOC_000956,0.000,0.224
XLOC_000957,0.096,0.280
XLOC_000958,0.184,0.089
XLOC_000959,0.000,0.034
XLOC_000961,0.019,0.100
XLOC_000963,0.000,0.029
XLOC_000964,0.000,0.004
XLOC_000965,0.000,0.000
XLOC_000966,0.099,0.006
XLOC_000968,0.000,0.082
XLOC_000969,0.000,0.000
XLOC_000970,0.047,0.078
XLOC_000971,0.000,0.000
XLOC_000973,0.077,0.033
XLOC_000974,0.078,0.052
XLOC_000975,0.000,0.050
XLOC_000976,0.097,0.052
XLOC_000977,0.000,0.253
XLOC_000978,0.000,0.000
XLOC_000979,0.000,0.000
XLOC_000980,0.004,0.077
XLOC_000981,0.044,0.000
XLOC_000982,0.000,0.032
XLOC_000983,0.000,0.031
XLOC_000984,0.104,0.194
XLOC_000985,0.000,0.000
XLOC_000986,0.070,0.082
XLOC_000987,0.000,0.000
XLOC_000988,0.100,0.123
XLOC_000989,0.000,0.097
XLOC_000990,0.000,0.081
XLOC_000991,0.054,0.182
XLOC_000992,0.000,0.000
XLOC_000993,0.046,0.000
XLOC_000994,0.027,0.042
XLOC_000996,0.000,0.248
XLOC_000997,0.032,0.000
XLOC_000998,0.000,0.149
XLOC_000999,0.000,0.006
XLOC_001000,0.092,0.000
XLOC_001001,0.000,0.000
XLOC_001002,0.021,0.036
XLOC_001003,0.000,0.140
XLOC_001004,0.004,0.246
XLOC_001005,0.000,0.091
XLOC_001008,0.016,0.044
XLOC_001013,0.000,0.056
XLOC_001016,0.000,0.018
XLOC_001017,0.036,0.000
XLOC_001018,0.023,0.000
XLOC_001019,0.000,0.108
XLOC_001020,0.000,0.000
XLOC_001021,0.018,0.000
XLOC_001022,0.034,0.000
XLOC_001023,0.012,0.140
XLOC_001024,0.109,0.000
XLOC_001025,0.017,0.000
XLOC_001026,0.081,0.053
XLOC_001027,0.029,0.117
XLOC_001028,0.000,0.163
XLOC_001029,0.000,0.000
XLOC_001030,0.032,0.142
XLOC_001031,0.026,0.043
XLOC_001032,0.045,0.000
XLOC_001033,0.000,0.043
XLOC_001034,0.022,0.083
XLOC_001038,0.217,0.158
XLOC_001043,0.000,0.071
XLOC_001044,0.148,0.047
XLOC_001045,0.062,0.000
XLOC_001046,0.000,0.064
XLOC_001047,0.000,0.000
XLOC_001048,0.000,0.081
XLOC_001049,0.000,0.010
XLOC_001050,0.107,0.000
XLOC_001051,0.171,0.019
XLOC_001053,0.058,0.000
XLOC_001054,0.060,0.000
XLOC_001055,0.039,0.000
XLOC_001056,0.066,0.000
XLOC_001057,0.000,0.015
XLOC_001059,0.000,0.010
XLOC_001060,0.124,0.000
XLOC_001061,0.000,0.119
XLOC_001062,0.000,0.000
XLOC_001063,0.000,0.000
XLOC_001064,0.045,0.002
XLOC_001065,0.063,0.007
XLOC_001066,0.000,0.000
XLOC_001067,0.000,0.135
XLOC_001068,0.000,0.000
XLOC_001069,0.028,0.000
XLOC_001070,0.000,0.000
XLOC_001071,0.000,0.066
XLOC_001072,0.000,0.059
XLOC_001073,0.047,0.000
XLOC_001074,0.109,0.000
XLOC_001075,0.006,0.098
XLOC_001077,0.006,0.022
XLOC_001078,0.153,0.000
XLOC_001079,0.055,0.000
XLOC_001080,0.049,0.116
XLOC_001081,0.000,0.015
XLOC_001082,0.054,0.137
XLOC_001083,0.000,0.044
XLOC_001084,0.135,0.081
XLOC_001086,0.000,0.138
XLOC_001088,0.000,0.098
XLOC_001090,0.000,0.057
XLOC_001091,0.000,0.021
XLOC_001092,0.104,0.000
XLOC_001093,0.000,0.094
XLOC_001095,0.000,0.000
XLOC_001097,0.142,0.067
XLOC_001098,0.079,0.000
XLOC_001101,0.000,0.007
XLOC_001102,0.000,0.022
XLOC_001105,0.000,0.224
XLOC_001108,0.172,0.000
XLOC_001109,0.199,0.000
XLOC_001110,0.017,0.194
XLOC_001111,0.000,0.074
XLOC_001112,0.155,0.154
XLOC_001114,0.045,0.033
XLOC_001115,0.045,0.000
XLOC_001116,0.065,0.013
XLOC_001117,0.000,0.000
XLOC_001118,0.000,0.000
XLOC_001121,0.036,0.094
XLOC_001122,0.000,0.120
XLOC_001123,0.066,0.168
XLOC_001124,0.000,0.045
XLOC_001125,0.000,0.293
XLOC_001126,0.064,0.208
XLOC_001127,0.000,0.338
XLOC_001128,0.020,0.345
XLOC_001129,0.010,0.233
XLOC_001130,0.040,0.076
XLOC_001131,0.000,0.292
XLOC_001132,0.057,0.271
XLOC_001133,0.000,0.261
XLOC_001134,0.029,0.170
XLOC_001135,0.000,0.146
XLOC_001136,0.000,0.133
XLOC_001137,0.000,0.234
XLOC_001138,0.174,0.337
XLOC_001139,0.000,0.529
XLOC_001140,0.000,0.065
XLOC_001141,0.123,0.261
XLOC_001142,0.000,0.129
XLOC_001143,0.099,0.000
XLOC_001144,0.000,0.224
XLOC_001145,0.000,0.170
XLOC_001146,0.000,0.000
XLOC_001147,0.070,0.096
XLOC_001149,0.019,0.004
XLOC_001150,0.000,0.000
XLOC_001151,0.000,0.036
XLOC_001152,0.000,0.000
XLOC_001153,0.000,0.126
XLOC_001154,0.032,0.178
XLOC_001155,0.166,0.246
XLOC_001156,0.020,0.000
XLOC_001157,0.083,0.043
XLOC_001158,0.029,0.027
XLOC_001159,0.069,0.068
XLOC_001160,0.182,0.096
XLOC_001161,0.000,0.116
XLOC_001162,0.021,0.000
XLOC_001163,0.131,0.160
XLOC_001165,0.112,0.066
XLOC_001166,0.030,0.000
XLOC_001168,0.128,0.016
XLOC_001169,0.000,0.000
XLOC_001170,0.000,0.048
XLOC_001171,0.000,0.000
XLOC_001172,0.059,0.000
XLOC_001176,0.069,0.047
XLOC_001177,0.170,0.023
XLOC_001178,0.000,0.050
XLOC_001179,0.058,0.017
XLOC_001180,0.000,0.123
XLOC_001181,0.042,0.050
XLOC_001182,0.001,0.000
XLOC_001183,0.000,0.004
XLOC_001184,0.000,0.000
XLOC_001185,0.000,0.040
XLOC_001186,0.000,0.027
XLOC_001187,0.000,0.135
XLOC_001188,0.094,0.137
XLOC_001189,0.030,0.152
XLOC_001190,0.000,0.000
XLOC_001191,0.000,0.000
XLOC_001192,0.015,0.000
XLOC_001193,0.026,0.014
XLOC_001194,0.060,0.028
XLOC_001195,0.083,0.052
XLOC_001196,0.000,0.000
XLOC_001198,0.000,0.000
XLOC_001200,0.206,0.000
XLOC_001202,0.016,0.080
XLOC_001203,0.059,0.105
XLOC_001204,0.100,0.000
XLOC_001205,0.059,0.044
XLOC_001208,0.068,0.000
XLOC_001209,0.000,0.000
XLOC_001210,0.048,0.263
XLOC_001211,0.001,0.099
XLOC_001213,0.000,0.057
XLOC_001218,0.094,0.000
XLOC_001220,0.000,0.370
XLOC_001224,0.171,0.245
XLOC_001225,0.025,0.068
XLOC_001233,0.096,0.031
XLOC_001236,0.000,0.116
XLOC_001248,0.000,0.004
XLOC_001250,0.000,0.000
XLOC_001257,0.000,0.000
XLOC_001258,0.000,0.040
XLOC_001262,0.000,0.000
XLOC_001272,0.000,0.021
XLOC_001285,0.087,0.026
XLOC_001286,0.000,0.144
XLOC_001295,0.009,0.000
XLOC_001298,0.000,0.000
XLOC_001308,0.091,0.086
XLOC_001309,0.000,0.021
XLOC_001310,0.000,0.125
XLOC_001311,0.000,0.000
XLOC_001319,0.072,0.524
XLOC_001330,0.000,0.000
XLOC_001331,0.074,0.020
XLOC_001347,0.052,0.000
XLOC_001350,0.000,0.000
XLOC_001358,0.000,0.027
XLOC_001359,0.127,0.021
XLOC_001360,0.000,0.463
XLOC_001364,0.153,0.027
XLOC_001366,0.008,0.000
XLOC_001368,0.210,0.477
XLOC_001372,0.000,0.000
XLOC_001376,0.017,0.140
XLOC_001383,0.081,0.000
XLOC_001384,0.069,0.035
XLOC_001387,0.000,0.000
XLOC_001388,0.208,0.186
XLOC_001397,0.361,0.121
XLOC_001398,0.011,0.135
XLOC_001399,0.000,0.326
XLOC_001400,0.000,0.010
XLOC_001402,0.000,0.103
XLOC_001403,0.000,0.093
XLOC_001404,0.045,0.144
XLOC_001405,0.000,0.052
XLOC_001407,0.077,0.218
XLOC_001415,0.000,0.058
XLOC_001418,0.000,0.040
XLOC_001426,0.000,0.029
XLOC_001431,0.000,0.020
XLOC_001432,0.090,0.086
XLOC_001438,0.042,0.089
XLOC_001451,0.207,0.058
XLOC_001452,0.000,0.019
XLOC_001453,0.112,0.092
XLOC_001458,0.000,0.104
XLOC_001460,0.000,0.082
XLOC_001473,0.000,0.000
XLOC_001479,0.000,0.000
XLOC_001485,0.067,0.000
XLOC_001486,0.044,0.065
XLOC_001489,0.013,0.008
XLOC_001490,0.000,0.022
XLOC_001492,0.105,0.000
XLOC_001495,0.016,0.211
XLOC_001499,0.105,0.000
XLOC_001501,0.139,0.032
XLOC_001502,0.000,0.041
XLOC_001506,0.046,0.000
XLOC_001509,0.000,0.003
XLOC_001510,0.011,0.000
XLOC_001517,0.009,0.000
XLOC_001521,0.026,0.019
XLOC_001531,0.022,0.000
XLOC_001544,0.115,0.188
XLOC_001545,0.000,0.000
XLOC_001546,0.000,0.162
XLOC_001552,0.000,0.000
XLOC_001554,0.023,0.000
XLOC_001561,0.074,0.000
XLOC_001580,0.000,0.031
XLOC_001582,0.000,0.226
XLOC_001597,0.000,0.087
XLOC_001605,0.084,0.000
XLOC_001621,0.000,0.007
XLOC_001625,0.000,0.045
XLOC_001629,0.037,0.022
XLOC_001631,0.000,0.000
XLOC_001636,0.040,0.000
XLOC_001647,0.000,0.017
XLOC_001657,0.070,0.281
XLOC_001661,0.048,0.000
XLOC_001663,0.075,0.126
XLOC_001664,0.057,0.018
XLOC_001665,0.095,0.072
XLOC_001666,0.000,0.060
XLOC_001673,0.017,0.026
XLOC_001675,0.000,0.024
XLOC_001676,0.046,0.000
XLOC_001681,0.000,0.173
XLOC_001686,0.050,0.087
XLOC_001687,0.068,0.073
XLOC_001692,0.027,0.000
XLOC_001695,0.000,0.020
XLOC_001697,0.000,0.000
XLOC_001698,0.024,0.049
XLOC_001705,0.032,0.000
XLOC_001707,0.014,0.000
XLOC_001708,0.000,0.040
XLOC_001709,0.000,0.011
XLOC_001711,0.022,0.038
XLOC_001713,0.000,0.000
XLOC_001724,0.056,0.058
XLOC_001733,0.000,0.000
XLOC_001737,0.137,0.147
XLOC_001741,0.130,0.057
XLOC_001743,0.066,0.000
XLOC_001745,0.000,0.000
XLOC_001746,0.018,0.028
