FBID,gene_name,gene_type,position,sex_fixed_effect_pvalue,sex_fdr,sex_by_line_pvalue,sex_by_line_fdr,sex_by_line_variance_component,between_line_variance_component,between_line_pvalue,between_line_fdr,within_line_variance_component
FBgn0025185,az2,protein_coding,2R:3398127..3400254,2.82E-169,1.19E-168,1.45E-02,8.92E-02,0.0263,0.0000,1.16E-01,1.87E-01,0.1762
FBgn0025186,ari-2,protein_coding,2R:18100346..18104769,1.98E-184,9.37E-184,3.01E-01,5.71E-01,0.0056,0.0134,2.83E-03,8.78E-03,0.1554
FBgn0025286,RpL31,protein_coding,2R:5474698..5475494,5.29E-169,2.23E-168,9.53E-03,6.59E-02,0.0271,0.0000,1.25E-01,1.97E-01,0.1745
FBgn0025334,PHDP,protein_coding,2R:19770708..19771835,4.91E-19,7.43E-19,7.71E-02,2.68E-01,0.0030,0.0000,9.87E-01,9.87E-01,0.8907
FBgn0025335,CG4585,protein_coding,2R:19750485..19752917,4.37E-256,4.06E-255,6.18E-01,8.03E-01,0.0000,0.0005,4.21E-01,4.99E-01,0.0815
FBgn0025336,CG4882,protein_coding,2R:19768340..19769923,8.04E-209,4.70E-208,3.77E-01,6.34E-01,0.0030,0.0039,1.25E-01,1.98E-01,0.1299
FBgn0025352,Thiolase,protein_coding,2R:19754171..19756126,1.81E-85,4.42E-85,2.84E-01,5.55E-01,0.0163,0.0648,6.25E-06,3.50E-05,0.4148
FBgn0025355,SuUR,protein_coding,3L:11058091..11062125,3.19E-275,3.63E-274,5.29E-02,2.11E-01,0.0053,0.0050,8.83E-05,3.99E-04,0.0457
FBgn0025360,Optix,protein_coding,2R:3918788..3930034,0.00E+00,0.00E+00,4.85E-02,1.99E-01,0.0040,0.0000,7.25E-02,1.29E-01,0.0315
FBgn0025366,Ip259,protein_coding,2L:10408352..10409610,2.94E-127,9.24E-127,5.13E-01,7.37E-01,0.0000,0.0556,9.55E-08,6.99E-07,0.2702
FBgn0025373,Fpps,protein_coding,2R:7193016..7195033,1.71E-20,2.63E-20,4.25E-02,1.83E-01,0.0821,0.1139,3.99E-07,2.70E-06,0.6801
FBgn0025378,CG3795,protein_coding,X:1600532..1604308,3.18E-213,1.93E-212,2.75E-01,5.47E-01,0.0000,0.0000,8.08E-01,8.33E-01,0.1347
FBgn0025381,rush,protein_coding,X:1371096..1375466,1.59E-67,3.49E-67,4.55E-01,6.96E-01,0.0020,0.0383,2.01E-02,4.62E-02,0.5605
FBgn0025382,Rab27,protein_coding,X:1367908..1370963,2.50E-35,4.40E-35,1.89E-01,4.48E-01,0.0421,0.0380,1.73E-02,4.07E-02,0.7015
FBgn0025383,CG14780,protein_coding,X:1366558..1367760,1.83E-96,4.77E-96,6.97E-01,8.48E-01,0.0000,0.0000,5.02E-01,5.72E-01,0.4782
FBgn0025387,CG12184,protein_coding,X:4521413..4524969,1.59E-289,2.15E-288,5.27E-03,4.24E-02,0.0075,0.0005,1.82E-02,4.24E-02,0.0390
FBgn0025388,CG12179,protein_coding,X:4520162..4530050,1.68E-181,7.78E-181,1.21E-02,7.84E-02,0.0240,0.0044,1.11E-02,2.82E-02,0.1434
FBgn0025390,Mur2B,protein_coding,X:1417587..1512188,3.11E-133,1.01E-132,2.85E-05,6.04E-04,0.0688,0.0010,3.45E-03,1.04E-02,0.2105
FBgn0025391,Scgdelta,protein_coding,X:1639909..1648096,8.91E-08,1.16E-07,7.96E-01,9.01E-01,0.0000,0.0270,1.71E-01,2.51E-01,0.9373
FBgn0025393,CG14795,protein_coding,X:1406260..1406836,2.56E-42,4.76E-42,6.65E-01,8.31E-01,0.0000,0.0000,6.85E-01,7.29E-01,0.7602
FBgn0025394,inc,protein_coding,X:1377512..1411648,6.83E-252,6.04E-251,1.54E-01,3.98E-01,0.0049,0.0041,9.32E-03,2.43E-02,0.0689
FBgn0025454,Cyp6g1,protein_coding,2R:8073172..8075936,6.94E-59,1.44E-58,4.25E-01,6.74E-01,0.0022,0.6955,4.40E-148,6.65E-145,0.1691
FBgn0025455,CycT,protein_coding,3L:17544013..17550888,8.18E-54,1.65E-53,5.47E-01,7.60E-01,0.0307,0.0000,5.77E-02,1.08E-01,0.6506
FBgn0025456,CREG,protein_coding,3R:13218994..13220362,7.77E-26,1.26E-25,9.96E-01,9.99E-01,0.0000,0.1375,6.43E-07,4.23E-06,0.7361
FBgn0025457,Bub3,protein_coding,3R:25499729..25501143,1.57E-244,1.28E-243,5.71E-03,4.51E-02,0.0124,0.0028,3.33E-03,1.01E-02,0.0651
FBgn0025463,Bap60,protein_coding,X:13051478..13053611,0.00E+00,0.00E+00,5.95E-02,2.26E-01,0.0028,0.0000,1.15E-01,1.85E-01,0.0241
FBgn0025469,slv,protein_coding,2R:3968064..3970862,9.93E-169,4.17E-168,2.07E-01,4.71E-01,0.0111,0.0056,7.69E-02,1.35E-01,0.1945
FBgn0025519,fidipidine,protein_coding,2R:12149789..12152126,1.78E-63,3.82E-63,5.05E-02,2.04E-01,0.0717,0.0000,6.07E-02,1.12E-01,0.5386
FBgn0025525,bab2,protein_coding,3L:1140429..1177276,9.32E-238,7.11E-237,2.96E-02,1.45E-01,0.0094,0.0082,2.43E-05,1.24E-04,0.0691
FBgn0025549,unc-119,protein_coding,X:7182392..7185392,1.25E-136,4.18E-136,9.10E-09,4.72E-07,0.0763,0.0225,3.19E-09,2.76E-08,0.1517
FBgn0025558,CG4101,protein_coding,3L:16605586..16606050,5.04E-03,5.79E-03,2.72E-01,5.44E-01,0.0367,0.0886,6.63E-04,2.46E-03,0.8662
FBgn0025571,SF1,protein_coding,3R:13366143..13370870,9.99E-161,3.96E-160,7.11E-04,8.89E-03,0.0351,0.0000,2.33E-01,3.18E-01,0.1833
FBgn0025573,PpN58A,protein_coding,2R:17768857..17770038,6.09E-227,4.18E-226,4.43E-02,1.88E-01,0.0077,0.0000,5.80E-01,6.40E-01,0.1008
FBgn0025574,Pli,protein_coding,3R:19685884..19715774,5.67E-176,2.52E-175,2.82E-01,5.54E-01,0.0063,0.0183,3.30E-04,1.32E-03,0.1647
FBgn0025578,Lcp9,protein_coding,2R:20667502..20667951,6.75E-06,8.41E-06,7.47E-01,8.75E-01,0.0000,0.0407,9.10E-02,1.54E-01,0.9322
FBgn0025582,Int6,protein_coding,3L:16778342..16780041,9.05E-134,2.97E-133,3.99E-01,6.54E-01,0.0051,0.0159,3.61E-02,7.43E-02,0.2904
FBgn0025583,IM2,protein_coding,2R:14274102..14274535,1.61E-02,1.81E-02,1.83E-01,4.40E-01,0.0363,0.3798,7.63E-31,3.15E-29,0.5808
FBgn0025592,Gyk,protein_coding,3L:202098..205844,2.63E-54,5.32E-54,9.86E-01,9.94E-01,0.0000,0.0570,4.96E-03,1.42E-02,0.6376
FBgn0025595,GRHR,protein_coding,2L:6711286..6716186,1.89E-52,3.77E-52,2.35E-02,1.24E-01,0.0713,0.0915,5.43E-08,4.07E-07,0.4980
FBgn0025608,Faf,protein_coding,2L:18706261..18708688,5.05E-58,1.04E-57,5.35E-01,7.52E-01,0.0000,0.0000,1.55E-01,2.33E-01,0.6589
FBgn0025612,CG3062,protein_coding,X:4535302..4538901,5.52E-140,1.89E-139,1.36E-02,8.55E-02,0.0341,0.0000,1.81E-01,2.62E-01,0.2477
FBgn0025613,CG3081,protein_coding,X:4533358..4535109,5.17E-03,5.93E-03,8.91E-01,9.49E-01,0.0000,0.0240,1.89E-01,2.71E-01,0.9671
FBgn0025615,Torsin,protein_coding,X:4542625..4543865,5.61E-146,2.00E-145,3.92E-01,6.48E-01,0.0042,0.0279,3.28E-04,1.31E-03,0.2357
FBgn0025616,CG13359,protein_coding,X:695702..697503,0.00E+00,0.00E+00,6.85E-01,8.42E-01,0.0000,0.0000,8.64E-01,8.81E-01,0.0418
FBgn0025620,CG13360,protein_coding,X:681888..684122,2.03E-53,4.07E-53,9.36E-01,9.71E-01,0.0000,0.1973,8.16E-17,1.37E-15,0.5134
FBgn0025621,CG16989,protein_coding,X:687201..690404,7.72E-108,2.15E-107,8.08E-04,9.87E-03,0.0440,0.1578,3.85E-40,2.54E-38,0.1792
FBgn0025624,CG4025,protein_coding,X:1970999..1972488,2.42E-118,7.21E-118,5.80E-01,7.81E-01,0.0000,0.0000,2.40E-01,3.26E-01,0.3788
FBgn0025625,Sik2,protein_coding,X:1949343..1955948,1.04E-202,5.76E-202,7.79E-01,8.92E-01,0.0000,0.0066,7.32E-02,1.30E-01,0.1446
FBgn0025626,CG4281,protein_coding,X:1956346..1959169,0.00E+00,0.00E+00,4.51E-01,6.93E-01,0.0000,0.0000,2.28E-01,3.13E-01,0.0213
FBgn0025627,CG4194,protein_coding,X:1962627..1963721,2.21E-02,2.48E-02,3.35E-01,6.02E-01,0.0574,0.0000,1.03E-01,1.70E-01,0.9374
FBgn0025628,CG4199,protein_coding,X:1960468..1967511,4.38E-04,5.20E-04,1.42E-04,2.35E-03,0.2138,0.0312,5.57E-04,2.10E-03,0.7366
FBgn0025629,CG4045,protein_coding,X:1968828..1969933,5.54E-164,2.25E-163,2.30E-01,5.00E-01,0.0102,0.0067,7.38E-02,1.31E-01,0.2067
FBgn0025630,CG4061,protein_coding,X:1966446..1968923,6.32E-99,1.67E-98,2.92E-01,5.62E-01,0.0139,0.0375,1.29E-03,4.41E-03,0.3866
FBgn0025631,moody,protein_coding,X:1938325..1944153,1.33E-248,1.12E-247,2.12E-01,4.78E-01,0.0047,0.0000,2.62E-01,3.48E-01,0.0805
FBgn0025632,CG4313,protein_coding,X:1946650..1949447,2.99E-19,4.53E-19,1.41E-01,3.78E-01,0.0000,0.0000,7.69E-01,8.01E-01,0.8901
FBgn0025633,CG13366,protein_coding,X:479114..515259,0.00E+00,0.00E+00,6.20E-02,2.33E-01,0.0035,0.0008,4.30E-02,8.54E-02,0.0316
FBgn0025634,CG13367,protein_coding,X:538794..540419,2.84E-100,7.57E-100,4.79E-01,7.13E-01,0.0000,0.0340,7.39E-03,1.99E-02,0.4072
FBgn0025635,CG17829,protein_coding,X:519588..522052,0.00E+00,0.00E+00,2.47E-01,5.20E-01,0.0000,0.0000,4.61E-01,5.36E-01,0.0362
FBgn0025637,skpA,protein_coding,X:550105..551932,2.24E-215,1.39E-214,1.59E-02,9.58E-02,0.0134,0.0123,1.93E-06,1.17E-05,0.0858
FBgn0025638,Roc1a,protein_coding,X:541320..542630,6.93E-104,1.89E-103,3.51E-01,6.14E-01,0.0028,0.0000,6.53E-01,7.02E-01,0.4354
FBgn0025639,Hmt4-20,protein_coding,X:542516..550075,1.16E-259,1.13E-258,7.47E-01,8.75E-01,0.0000,0.0003,4.55E-01,5.30E-01,0.0796
FBgn0025640,CG13369,protein_coding,X:517501..518798,3.20E-110,9.07E-110,8.04E-01,9.06E-01,0.0000,0.0582,3.58E-06,2.09E-05,0.3423
FBgn0025641,DAAM,protein_coding,X:1183746..1216427,1.96E-241,1.55E-240,4.15E-01,6.65E-01,0.0000,0.0000,7.81E-01,8.11E-01,0.0982
FBgn0025642,CG32812,protein_coding,X:1175858..1182978,1.18E-175,5.24E-175,1.66E-01,4.17E-01,0.0116,0.0097,1.23E-02,3.07E-02,0.1702
FBgn0025643,CG3588,protein_coding,X:2813803..2818459,9.64E-02,1.05E-01,9.76E-01,9.89E-01,0.0000,0.0337,1.31E-01,2.05E-01,0.9642
FBgn0025644,CG14424,protein_coding,X:2819917..2821291,4.50E-02,4.97E-02,4.02E-02,1.77E-01,0.1076,0.0430,6.16E-03,1.70E-02,0.8452
FBgn0025645,CG3598,protein_coding,X:2831060..2832106,1.09E-70,2.43E-70,9.10E-01,9.58E-01,0.0000,0.0312,4.89E-02,9.47E-02,0.5692
FBgn0025674,CycK,protein_coding,2L:22128264..22130142,3.94E-233,2.87E-232,2.52E-01,5.24E-01,0.0037,0.0110,3.44E-05,1.70E-04,0.0814
FBgn0025676,CkIIalpha-i3,protein_coding,3L:708658..710359,1.08E-05,1.34E-05,4.75E-03,3.94E-02,0.1242,0.2233,4.16E-16,6.68E-15,0.6302
FBgn0025678,CaBP1,protein_coding,2L:16354944..16356734,9.53E-01,9.57E-01,8.68E-02,2.88E-01,0.0733,0.1222,3.24E-06,1.90E-05,0.8063
FBgn0025679,Bteb2,protein_coding,X:4664590..4665621,3.92E-04,4.66E-04,9.53E-01,9.78E-01,0.0000,0.0474,6.17E-02,1.13E-01,0.9379
FBgn0025680,cry,protein_coding,3R:15037915..15041166,8.30E-123,2.54E-122,1.10E-02,7.32E-02,0.0258,0.1187,1.12E-30,4.57E-29,0.1796
FBgn0025681,CG3558,protein_coding,2L:2992870..2998726,3.77E-147,1.36E-146,8.26E-01,9.17E-01,0.0000,0.0198,1.12E-02,2.83E-02,0.2589
FBgn0025682,scf,protein_coding,3L:1298624..1300389,9.15E-52,1.82E-51,1.81E-02,1.05E-01,0.0819,0.0154,1.47E-02,3.56E-02,0.5747
FBgn0025683,CG3164,protein_coding,2L:122624..130791,2.85E-42,5.29E-42,1.46E-01,3.86E-01,0.0391,0.1409,1.73E-10,1.72E-09,0.5592
FBgn0025684,MFS18,protein_coding,2L:4446670..4448635,2.27E-255,2.08E-254,1.43E-01,3.81E-01,0.0050,0.0023,4.36E-02,8.64E-02,0.0683
FBgn0025686,CG11592,protein_coding,2L:287252..289144,6.01E-08,7.82E-08,2.43E-01,5.15E-01,0.0261,0.1131,4.58E-05,2.19E-04,0.8243
FBgn0025687,LKR,protein_coding,2L:7791406..7795958,3.33E-35,5.85E-35,3.80E-01,6.37E-01,0.0096,0.2373,1.13E-18,2.21E-17,0.5662
FBgn0025693,CG11163,protein_coding,2R:1662281..1671650,2.76E-63,5.90E-63,5.28E-02,2.10E-01,0.0501,0.0928,1.63E-08,1.29E-07,0.4594
FBgn0025697,santa-maria,protein_coding,2L:7445355..7451167,1.70E-172,7.33E-172,1.57E-01,4.04E-01,0.0115,0.0211,3.39E-05,1.67E-04,0.1606
FBgn0025700,CG5885,protein_coding,2L:9917221..9918176,1.27E-06,1.60E-06,6.07E-01,7.96E-01,0.0000,0.1491,1.37E-06,8.52E-06,0.8250
FBgn0025702,srpk79D,protein_coding,3L:22267085..22277435,7.03E-291,9.75E-290,4.67E-03,3.88E-02,0.0063,0.0048,6.56E-07,4.30E-06,0.0328
FBgn0025709,CG8083,protein_coding,2R:4966226..4969879,2.23E-12,3.11E-12,9.58E-01,9.80E-01,0.0000,0.0702,9.38E-03,2.44E-02,0.8716
FBgn0025712,CG13920,protein_coding,3L:1649006..1651501,8.04E-127,2.52E-126,7.48E-03,5.48E-02,0.0392,0.0493,2.70E-10,2.63E-09,0.2152
FBgn0025716,Bap55,protein_coding,2R:13316858..13318465,1.62E-262,1.61E-261,5.75E-03,4.53E-02,0.0103,0.0000,3.44E-02,7.14E-02,0.0552
FBgn0025720,Ate1,protein_coding,2R:16142471..16144895,6.76E-33,1.17E-32,1.55E-01,4.01E-01,0.0521,0.0094,1.34E-01,2.08E-01,0.7372
FBgn0025724,beta'Cop,protein_coding,2L:13378897..13382382,4.30E-110,1.22E-109,6.74E-01,8.35E-01,0.0000,0.0329,4.31E-03,1.26E-02,0.3702
FBgn0025725,alphaCop,protein_coding,3L:1641066..1645199,1.34E-38,2.42E-38,6.03E-01,7.94E-01,0.0000,0.0606,6.06E-03,1.68E-02,0.7099
FBgn0025726,unc-13,protein_coding,4:888450..925447,5.34E-105,1.46E-104,2.00E-01,4.61E-01,0.0179,0.0795,7.22E-11,7.51E-10,0.3040
FBgn0025739,pon,protein_coding,X:4530351..4533145,1.01E-230,7.16E-230,5.25E-16,7.44E-14,0.0333,0.0044,6.43E-10,6.04E-09,0.0394
FBgn0025740,plexB,protein_coding,4:53104..64404,4.81E-153,1.81E-152,8.79E-03,6.21E-02,0.0320,0.0181,5.21E-05,2.47E-04,0.1811
FBgn0025741,plexA,protein_coding,4:1030521..1047727,5.92E-149,2.16E-148,8.19E-02,2.78E-01,0.0226,0.0066,3.94E-02,7.95E-02,0.2277
FBgn0025742,mtm,protein_coding,2L:6034796..6036937,8.18E-143,2.86E-142,5.35E-02,2.12E-01,0.0147,0.0000,7.49E-01,7.84E-01,0.2708
FBgn0025743,mbt,protein_coding,X:16504737..16508889,0.00E+00,0.00E+00,5.93E-01,7.89E-01,0.0000,0.0000,1.25E-01,1.98E-01,0.0381
FBgn0025776,ind,protein_coding,3L:15035894..15037024,1.78E-08,2.33E-08,4.12E-01,6.63E-01,0.0000,0.0000,3.67E-01,4.51E-01,0.9576
FBgn0025777,homer,protein_coding,2L:6719394..6723359,1.37E-121,4.16E-121,8.56E-01,9.33E-01,0.0000,0.0000,2.45E-01,3.31E-01,0.3750
FBgn0025781,cdc16,protein_coding,3R:19106923..19109845,5.01E-273,5.57E-272,6.96E-01,8.48E-01,0.0000,0.0066,5.52E-04,2.09E-03,0.0565
FBgn0025790,TBPH,protein_coding,2R:19746590..19750135,1.13E-76,2.62E-76,8.42E-01,9.25E-01,0.0000,0.0227,8.26E-02,1.43E-01,0.5475
FBgn0025800,Smox,protein_coding,X:8032424..8036301,3.77E-138,1.28E-137,2.86E-01,5.57E-01,0.0105,0.0225,2.58E-03,8.08E-03,0.2586
FBgn0025802,Sbf,protein_coding,3R:7615015..7622670,8.70E-23,1.37E-22,6.35E-01,8.13E-01,0.0000,0.0442,3.81E-02,7.75E-02,0.8266
FBgn0025806,Rap2l,protein_coding,2R:19950576..19952928,4.51E-35,7.93E-35,8.25E-02,2.79E-01,0.0668,0.0260,2.45E-02,5.42E-02,0.6867
FBgn0025807,Rad9,protein_coding,3L:18863145..18865653,2.71E-28,4.49E-28,2.25E-01,4.94E-01,0.0220,0.0000,6.17E-01,6.71E-01,0.8124
FBgn0025808,Rad17,protein_coding,3R:10486898..10488914,1.10E-216,6.89E-216,1.09E-02,7.25E-02,0.0121,0.0000,4.76E-01,5.48E-01,0.1070
FBgn0025809,Paf-AHalpha,protein_coding,X:15678042..15679612,4.67E-227,3.21E-226,3.07E-02,1.49E-01,0.0102,0.0000,3.07E-01,3.93E-01,0.0957
FBgn0025814,Mgstl,protein_coding,X:20913512..20915134,5.48E-39,9.92E-39,1.45E-01,3.85E-01,0.0402,0.1638,1.79E-12,2.14E-11,0.5600
FBgn0025815,Mcm6,protein_coding,X:6568422..6571205,0.00E+00,0.00E+00,7.62E-02,2.65E-01,0.0018,0.0004,5.19E-02,9.92E-02,0.0184
FBgn0025820,JTBR,protein_coding,3L:1802008..1802856,4.93E-09,6.54E-09,2.60E-02,1.33E-01,0.0713,0.0000,6.62E-01,7.09E-01,0.8807
FBgn0025821,I-t,protein_coding,3R:7529752..7530638,0.00E+00,0.00E+00,1.31E-04,2.20E-03,0.0049,0.0000,1.41E-01,2.17E-01,0.0210
FBgn0025825,Hdac3,protein_coding,3R:1298532..1300322,9.96E-141,3.42E-140,8.00E-01,9.03E-01,0.0000,0.0014,4.38E-01,5.15E-01,0.3080
FBgn0025827,CG6421,protein_coding,2R:12759755..12760413,1.05E-78,2.48E-78,8.21E-01,9.15E-01,0.0000,0.0388,1.27E-02,3.15E-02,0.5141
FBgn0025830,IntS8,protein_coding,2R:12737963..12741606,1.17E-189,5.77E-189,1.44E-01,3.83E-01,0.0082,0.0000,4.63E-01,5.37E-01,0.1621
FBgn0025832,Fen1,protein_coding,2R:12741482..12742843,7.37E-161,2.93E-160,3.12E-01,5.81E-01,0.0066,0.0089,5.16E-02,9.88E-02,0.2159
FBgn0025833,CG8910,protein_coding,2R:12762229..12783156,1.16E-240,9.10E-240,4.07E-01,6.59E-01,0.0013,0.0052,2.60E-02,5.68E-02,0.0860
FBgn0025835,CG17707,protein_coding,X:39388..44813,9.15E-30,1.54E-29,3.69E-02,1.68E-01,0.0413,0.5369,3.79E-74,8.09E-72,0.3215
FBgn0025836,RhoGAP1A,protein_coding,X:23840..36727,6.88E-89,1.72E-88,2.10E-20,4.87E-18,0.1067,0.2520,1.21E-77,2.89E-75,0.1016
FBgn0025837,CG17636,protein_coding,X:20757..23268,1.09E-28,1.81E-28,9.80E-03,6.75E-02,0.1019,0.1268,1.23E-09,1.12E-08,0.5876
FBgn0025838,CG2652,protein_coding,X:2576020..2576965,1.88E-87,4.66E-87,6.04E-02,2.29E-01,0.0433,0.0000,2.20E-01,3.05E-01,0.4485
FBgn0025839,CG3621,protein_coding,X:2066561..2067170,3.06E-79,7.23E-79,8.70E-02,2.88E-01,0.0388,0.0480,1.29E-04,5.61E-04,0.4348
FBgn0025864,Crag,protein_coding,X:8486056..8496234,9.71E-227,6.65E-226,7.87E-01,8.96E-01,0.0000,0.0030,2.02E-01,2.85E-01,0.1131
FBgn0025865,Cortactin,protein_coding,3R:16887402..16890193,9.85E-195,5.05E-194,3.42E-01,6.07E-01,0.0097,0.0000,2.16E-02,4.90E-02,0.1469
FBgn0025866,CalpB,protein_coding,3L:9881862..9886419,4.21E-168,1.76E-167,4.08E-01,6.60E-01,0.0022,0.0317,6.14E-07,4.05E-06,0.1722
FBgn0025874,Meics,protein_coding,3L:13955758..13957802,1.01E-151,3.75E-151,5.58E-01,7.66E-01,0.0000,0.0118,7.62E-02,1.34E-01,0.2511
FBgn0025878,wrapper,protein_coding,2R:18267017..18270191,4.22E-105,1.16E-104,9.90E-02,3.10E-01,0.0329,0.0112,4.11E-02,8.22E-02,0.3658
FBgn0025879,Timp,protein_coding,3R:6029597..6038729,3.01E-129,9.58E-129,1.04E-01,3.19E-01,0.0226,0.0308,6.50E-05,3.02E-04,0.2579
FBgn0025881,snoRNA:Me18S-A1576,snoRNA,2L:9894795..9894907,1.54E-11,2.12E-11,6.09E-01,7.98E-01,0.0000,0.1757,7.39E-09,6.12E-08,0.7745
FBgn0025882,snoRNA:MeU6-A47,snoRNA,X:21257872..21257962,1.52E-11,2.09E-11,5.95E-02,2.26E-01,0.0458,0.0000,7.64E-01,7.96E-01,0.8912
FBgn0025885,Inos,protein_coding,2R:3342387..3346385,6.00E-19,9.07E-19,1.48E-01,3.89E-01,0.0460,0.2015,3.13E-13,4.01E-12,0.6551
FBgn0025936,Eph,protein_coding,4:631310..643096,1.45E-133,4.75E-133,5.10E-01,7.35E-01,0.0002,0.0279,2.00E-03,6.50E-03,0.2834
FBgn0026015,Top3beta,protein_coding,X:6178504..6182027,9.74E-270,1.04E-268,3.40E-01,6.05E-01,0.0000,0.0065,1.76E-04,7.49E-04,0.0559
FBgn0026056,Rlip,protein_coding,3R:16843406..16846475,8.52E-84,2.07E-83,3.91E-01,6.47E-01,0.0079,0.0843,6.95E-08,5.15E-07,0.4151
FBgn0026058,OdsH,protein_coding,X:17684336..17708021,1.30E-64,2.81E-64,1.68E-01,4.19E-01,0.0372,0.0000,2.75E-01,3.62E-01,0.5791
FBgn0026059,Mhcl,protein_coding,3R:11894245..11924483,1.12E-08,1.48E-08,1.35E-01,3.69E-01,0.0607,0.0775,6.65E-04,2.47E-03,0.8183
FBgn0026060,Mipp2,protein_coding,X:5976742..5985504,4.60E-211,2.74E-210,4.80E-01,7.13E-01,0.0007,0.0078,2.39E-02,5.32E-02,0.1228
FBgn0026061,Mipp1,protein_coding,3L:16556729..16566434,1.25E-25,2.02E-25,6.38E-02,2.37E-01,0.0636,0.1724,4.28E-12,4.95E-11,0.6166
FBgn0026064,KP78a,protein_coding,3R:7172016..7178853,1.14E-93,2.93E-93,3.05E-01,5.74E-01,0.0000,0.0000,4.59E-01,5.33E-01,0.4789
FBgn0026076,UBL3,protein_coding,X:15743909..15747198,4.93E-91,1.25E-90,2.17E-03,2.16E-02,0.0754,0.0244,2.88E-04,1.17E-03,0.3486
FBgn0026077,Gasp,protein_coding,3R:1914951..1926609,4.57E-26,7.43E-26,3.17E-01,5.86E-01,0.0237,0.1084,1.08E-05,5.83E-05,0.7140
FBgn0026079,Nsun2,protein_coding,X:4005189..4007767,2.28E-224,1.53E-223,8.26E-01,9.17E-01,0.0000,0.0068,2.36E-02,5.27E-02,0.1104
FBgn0026080,Tip60,protein_coding,X:4008833..4011520,3.52E-185,1.67E-184,8.96E-02,2.93E-01,0.0136,0.0114,1.47E-03,4.95E-03,0.1425
FBgn0026083,tyf,protein_coding,X:4011053..4024004,9.33E-301,1.51E-299,3.89E-01,6.45E-01,0.0005,0.0000,5.49E-01,6.13E-01,0.0467
FBgn0026084,cib,protein_coding,X:4000148..4005014,1.16E-191,5.82E-191,4.69E-02,1.95E-01,0.0138,0.0169,5.16E-06,2.92E-05,0.1196
FBgn0026085,dgt4,protein_coding,X:4007734..4008962,3.94E-126,1.23E-125,3.51E-01,6.14E-01,0.0134,0.0000,2.23E-01,3.08E-01,0.3297
FBgn0026086,Adar,protein_coding,X:1667758..1682098,1.69E-01,1.81E-01,2.07E-01,4.72E-01,0.0395,0.0570,1.26E-02,3.14E-02,0.9026
FBgn0026088,CG14818,protein_coding,X:1773052..1773807,7.75E-114,2.24E-113,7.65E-01,8.84E-01,0.0000,0.0000,8.22E-02,1.42E-01,0.3962
FBgn0026089,CG14817,protein_coding,X:1770739..1771303,2.87E-26,4.67E-26,3.03E-01,5.72E-01,0.0285,0.0303,6.64E-02,1.20E-01,0.7837
FBgn0026090,CG14812,protein_coding,X:1751922..1753029,1.49E-22,2.34E-22,5.20E-02,2.08E-01,0.0922,0.0000,9.29E-02,1.57E-01,0.7685
FBgn0026136,CkIIbeta2,protein_coding,2R:16177132..16178056,7.72E-287,1.02E-285,7.89E-05,1.43E-03,0.0105,0.0000,1.05E-02,2.69E-02,0.0358
FBgn0026141,Cdlc2,protein_coding,2L:1344480..1345144,0.00E+00,0.00E+00,2.28E-02,1.21E-01,0.0021,0.0000,1.13E-01,1.82E-01,0.0155
FBgn0026143,CDC45L,protein_coding,X:922324..924614,0.00E+00,0.00E+00,6.97E-02,2.51E-01,0.0032,0.0011,2.11E-02,4.80E-02,0.0301
FBgn0026144,CBP,protein_coding,X:7231403..7236764,0.00E+00,0.00E+00,3.21E-03,2.93E-02,0.0028,0.0007,1.76E-03,5.80E-03,0.0137
FBgn0026147,CG16833,protein_coding,2L:10989305..10997700,1.70E-113,4.91E-113,2.11E-14,2.52E-12,0.1321,0.0000,4.42E-04,1.71E-03,0.1902
FBgn0026148,CG12253,protein_coding,2L:10987817..10989241,1.32E-189,6.49E-189,1.22E-02,7.89E-02,0.0206,0.0070,2.39E-03,7.55E-03,0.1269
FBgn0026149,BCL7-like,protein_coding,X:9250667..9252627,3.05E-307,5.43E-306,4.67E-01,7.04E-01,0.0003,0.0012,1.58E-01,2.36E-01,0.0411
FBgn0026150,ApepP,protein_coding,2L:16908229..16910431,2.46E-131,7.94E-131,8.44E-01,9.26E-01,0.0000,0.0094,1.82E-01,2.64E-01,0.3277
FBgn0026160,tna,protein_coding,3L:10850935..10869596,3.42E-284,4.34E-283,5.54E-03,4.40E-02,0.0073,0.0030,2.62E-04,1.07E-03,0.0385
FBgn0026169,snoRNA:Psi18S-1820,snoRNA,2R:20063751..20063890,9.11E-58,1.88E-57,3.18E-01,5.87E-01,0.0184,0.0542,1.53E-03,5.11E-03,0.5754
FBgn0026174,skpD,protein_coding,X:19706762..19707421,2.34E-196,1.22E-195,2.21E-01,4.89E-01,0.0077,0.0000,2.95E-01,3.82E-01,0.1497
FBgn0026175,skpC,protein_coding,X:19710171..19710647,2.60E-64,5.61E-64,2.86E-10,1.96E-08,0.1964,0.0195,1.12E-06,7.06E-06,0.3373
FBgn0026176,skpB,protein_coding,2R:8026800..8027734,5.61E-200,3.03E-199,5.84E-01,7.84E-01,0.0000,0.0000,3.53E-01,4.37E-01,0.1570
FBgn0026179,siz,protein_coding,3L:21027635..21068544,1.45E-89,3.64E-89,9.80E-01,9.91E-01,0.0000,0.0803,5.46E-07,3.62E-06,0.4251
